,Comment,Likes,Time,user,UserLink
33,Heroes being the antagonist always make for a compelling story,51,7 days ago,,
34,"After a long time, I got goosebumps watching a movie trailer. Good job WB.",29,7 days ago,,
35,"this looks amazing, hopefully DC can keep it going with future projects",1,6 days ago,,
36,"OH MY GOD, I really hope we gonna see more of Dr. Fate and Hawkman. İt's so wonderful to see them on a big screen",17,7 days ago,,
37,This really feels like DC Animated Universe level good.I hope so much that it won't be a disappointment.,7,6 days ago,,
38,"For those who don't know, that demon you saw is the main villain. His name is Sabacc. While Adams magic comes from 6 gods, Sabacc's magic is from 6 demons",1.5K,8 days ago,,
39,"This looks really good! Waaaaaaaaay better than first trailer lol. I am loving the designs, the effects, and of course the actors! brilliant choices!",11,6 days ago,,
40,Ever since The Batman I've been satisfied but seeing Black Adam. Now this is looking like a decent 2 movie binge watch,3,6 days ago,,
41,This is the first time I’m excited to watch a DC movie in a long time the last movie I watch in theaters was Aquaman,4,5 days ago,,
42,I can't wait for this show.  Black Adam looks great!!,2,7 days ago,,
43,"Its absolutely insane that back in 2020 I totally imagined that Dwayne Johnson could be the best actor to be Black Adam in a future movie, and I predicted this so accurately lmao",6,5 days ago (edited),,
44,I hope this turns out to be a hit for DC's sake. Great to see more of the Justice Society.,961,9 days ago,,
45,To think The Rock actually trained to get magical powers and fly for this movie is inspiring,2,1 day ago,,
46,"I can't wait , this looks incredible!!!",6,6 days ago,,
47,"I feel like this movie will really determine DC and Marvel’s positions with one another, Marvel has been kinda weak lately and the cgi looks horrible, this movie looks really good so far",0,2 days ago,,
48,I love how most of the comments are about Dr Fate lmao . Hopefully he gets his own movie after this . He looks so sick .,818,9 days ago,,
49,"Always with the dark, DC.  This time, though, you're leaning into it.  It looks good.  Hawkman looks fantastic.",6,7 days ago,,
50,"This movie is going to push DC to the top of comic book movies (for now)
After the disaster that was the early DCEU, the new M-She-U mess and two awesome projekts behind them (The Suicide Squad and Peacemaker) yeah, this is going to rock (pun kinda intended)",1,6 days ago (edited),,
51,"I'm not sure I've seen Hawkman change the head of his mace in comics before but this is looking lit!!!!Then the Black Adam scene ""Your magic is weak"" really got me",1,1 day ago,,
52,"This trailer is a major upgrade and pure awesome. Pierce looks amazing as Fate, and I love how Black Adam catches the bullet and beats up the soldiers so effortlessly. Definitely seeing it on release night!",1.5K,8 days ago,,
53,Finally a DC movie to compete with the MCU,4,7 days ago,,
54,This actually looks legitimately like it really might be one of the movie of all times,5,5 days ago,,
55,"Looks awesome, haven’t been so excited since Spider-Man.",3,4 days ago,,
56,"finally, more excited about a DCEU movie more that the next MCU project. don't mess up this chance guys!",11,6 days ago,,
57,I LOVE the Justice Society!  This is gonna be fun!,4,6 days ago,,
58,"""Your magic is weak"" That line gave me chills.Dwayne is gonna kill it as Black Adam",555,9 days ago (edited),,
59,This looks soo good️,4,6 days ago,,
60,Looks epic!! Dwayne looks dope in the flight scene!,6,7 days ago,,
61,"It's great, really!If the JSA can harness this much high-tech then I can't wait to see what the JUSTICE LEAGUE will flaunt for a modern day tech.",0,5 days ago,,
62,This movie will be amazing... I feel that,3,7 days ago,,
63,"Always with the dark, DC. This time, though, you're leaning into it. It looks good. Hawkman looks fantastic.",2,1 day ago,,
64,"This looks promising. No witty jokes, no puns, and all seriousness. It looks like DC is finally going back on that track we’ve started at the beginning and if it backfires, I won’t be surprised.
Btw, that shot at the beginning, Man of Steel vibes",364,8 days ago,,
65,Now this might be worth watching. I like the cast.,4,7 days ago,,
66,This Trailer has every emotion From Emotional to Exciting to Vengeance and etc..Fate looks awesome And thensome..And BLACK ADAM IS BLACK ADAM INDEED,1,5 days ago,,
67,Finally something good from DC.,2,6 days ago,,
68,That atom smasher landing gives me goosebumps,0,5 hours ago,,
69,This movie actually looks like it will be pretty good!,10,7 days ago,,
70,I really hope we see Black Adam become the villain from the comics. I'd love to see a film with Capt. Marvel (Shazam to the movie goers) and Superman having to team up to stop him.,5,6 days ago (edited),,
71,Looks great! A LOT of man of steel vibes,2,5 days ago,,
72,DC actually takes there time and gives us good CGI. Marvel wants to drop ever 3 months so they be rushing and crashing,12,7 days ago,,
73,It's absolutely amazing how this entire movie doesn't have any CGI to it. The Rock trained himself to fly and kill people. He really is THE electrifying man in the world,89,9 days ago,,
74,Black Adam and the JSA look awesome I’m so hyped ️,3,1 day ago,,
75,"Pierce Brosnan voice ,acting and Dr fate VFX and costume taking it to an another level",1K,9 days ago,,
76,I never said I was a hero  gave me chills,1,7 days ago,,
77,ESSE FILME VAI SER MUITO BOM!!!,2,7 days ago,,
78,"Now that's how you make a super hero movie, looks like marvel has to learn from DC now on how to make a movie...",4,5 days ago,,
79,"Wow, this is one great film to watch. All great actors too!",3,5 days ago,,
80,I am so happy Hawkman is getting prominent screen time! I love the Hawks!,10,5 days ago,,
81,"That jet scene took me back to X-men.
This looks beautiful. Love the display of power. Love seeing Noah Centineo in the big leagues. Really happy for him.",383,9 days ago,,
82,I'm so happy that hawkman got to be in the big-screen and Dr.Fate too. Damn Warner don't you mess this up.,2,6 days ago (edited),,
83,This actually looks awesome,2,6 days ago,,
84,Can't wait to see Black Adam. Super excited to see Dr. Fate Hawkman and JSA. Dr. Fate definitely needs a movie.,2,6 days ago,,
85,I love that they’re making a villain film. There should be more villain films.,10,7 days ago,,
86,I've become obsessed with coming back to look at Hawkman,3,6 days ago,,
87,"""Your magic is weak."" BEST Black Adam trailer hands down!!! The special effects look extremely good and it felt intense!! Pierce Brosnan as Dr.Fate looked very cool trying to hold Black Adam down! And the underground jet at the mansion reminded of X-Men! Also great Amanda Waller is here too!!!",913,9 days ago,,
88,Just incredible movie. I want to congratulate Mr. Johnson!,4,7 days ago,,
89,"I can’t wait to watch this movie in theaters, seems amazing!!",0,2 hours ago,,
90,He actually looks like the villain in this trailer!!!,300,9 days ago,,
91,"The back ground music is just goosebumps. Hoping for it to be an awesome flick, can’t wait. Ain’t seen any movies in the cinema since the Vid. Can’t wait for this one",4,7 days ago,,
92,When you're more excited for a DC movie than marvel's.,2,5 days ago,,
93,Omg rewatching the first trailer then watching this one is just getting me more hyped for this film!,6,8 days ago,,
94,10/10 Super Villain / Hero Movie right freaking here my gawd! ITS PERFECT,3,2 days ago,,https://www.youtube.com/channel/UCvPIwP5a9QHx9-1seZMvIGw
95,This could be a possible win for DC. It's about time we got a new set of characters from their universe.,387,9 days ago,,
96,this is why I'm a DC fan,5,19 hours ago,,
97,La Sociedad de la Justicia se ve mucho mejor que La Liga de la Justicia! Se ven brutal esos personajes!,0,2 days ago,,
98,To be frank after first trailer I wasn't hyped Abt black Adam. But after this trailer I am super hyped for it,1,3 days ago,,
99,He needs to fight Superman and Shazam,4,6 days ago,,
100,"Can't wait to see this. Way back in early 2000s when DC did the 52 series. I mostly read what happened to Black Adam during 52 and I remember saying to myself, The Rock could play Black Adam in a movie. And now here we are it happened. Can't wait to see this!!",345,8 days ago,,
101,"And the icing on the cake hopefully in the end credits we see Supes, omg! That would be amazing lol I cannot wait for this movie",1,7 days ago,,
102,Epic trailer! Can’t wait,10,6 days ago,,https://www.youtube.com/channel/UCEZ6QFA7F37E--lqew7wbAQ
103,This could spearhead the entire DCEU revival. Looks damn good,5,6 days ago,,
104,This trailer gave me goosebumps,1,6 days ago,,
105,"It's refreshing that DCEU is taking this route seriously, it's a fresh release from having to deal with marvel's nonstop comedic approaches to the point that it's so excruciating to watch their movies and series these days. A whole lot of us are rooting for you DCEU, help us regain our ardor and imagination again.",731,8 days ago,,
106,As a huge marvel and Dc fan i would agree that this trailer looks dope 100%,3,8 days ago,,
107,This was already something I was craving seeing. Pierce Brosnan as Dr Fate... Just jumped the level.  Way up!,0,3 days ago,,
108,okay… this looks absolutely incredible. DC making me look foolish for ever even being skeptical about this film. definitely seeing this opening weekend,4,6 days ago,,
109,"Really excited to watch Dr fate live action, one the the powerful superhero in DC universe, second favourite after batman.",1,1 day ago,,
110,Dr. fate his powers and that VFX,3,21 hours ago,,
111,I love Dr. Fate's costume. Awesome design.,900,9 days ago,,
112,When DC really needed a win they turned to the Rock!,1,7 days ago,,
113,That end walk with the explosions in the background was so cool I don’t even think they needed vfx cause the rock is just that guy,1,3 days ago,,
114,This trailer is the definition of BADASS,1,6 days ago,,
115,"hold up, this is actually looking good compared to what we saw from the teasers and the first trailer. DC is cooking.",1,7 days ago,,
116,"With the fall of the Marvel, this is the perfect timing for the rise of the DC. And this seems to be the movie that would do it.",1,6 days ago,,
117,Bro I can tell so much love and dedication was but into making this film  just by the great visual effects and the casting choice,2,7 days ago,,
118,This my brother states that dc era has begun...and it has established it's base right from here,2,7 days ago,,
119,Damn this for sure I'm gonna watch...DC seems to be going on the right track now.,1,7 days ago,,
120,"0:23Best quote lol.1:20Love the mace Hawkman's using, looks awesome.",0,22 hours ago (edited),,
121,"I did not particularly like the previous trailers, but I do like this one.It conveys more clearly how destructive Black Adam is.Also the Justice Society looks good. Gives me X-Men vibes.Overall the movie looks to be filled to the brim with atleast decent looking action.The visual effects and the look of the film leave something to be desired but unfortunately that is true for most blockbusters today.",292,9 days ago (edited),,
122,Finally a good DC movie,3,5 days ago,,
123,This looks freakin amazing!!,0,7 days ago,,
124,"Now, THAT's what I'm talking about!  What a preview!  and the Rock!  I'm going to see this!",1,6 days ago,,
125,Aldis Hodge is in this?!!! How crazy! I grew up watching him in Leverage with my family. So cool that he’s here now. Props to him!,8,7 days ago,,
126,"I like that Dwayne Johnson has come full circle by basically being an ancient, Egyptian God.",0,6 days ago,,
127,"This looks so insane....... i am speechless for the suits of the justice society, doctor fate looks awesome",278,9 days ago,,
128,This gonna be epic from DCDwayne Johnson perfectly fitted in the character of Black Adam.,1,7 days ago,,
129,Can't wait for this movie!!,1,7 days ago,,
130,"My favourite scene in the trailer was when The Rock did the eyebrow raise and went to face off John Xina and says “ligma balls”. Truly a masterpiece scene, can’t wait to watch the movie",0,5 days ago,,
131,bro I can't wait. Always been a better fan of dc comics and seeing these character to life is amazing. Looking forward to it!,3,4 days ago,,
132,"That looks amazing, I'm finally aboard the hype train",0,6 days ago,,
133,Dr fate is really the only one I'm looking forward to seeing so I really hope they do him justice. And I hope they can come up with some good on screen magic too.,464,9 days ago,,
134,I’m more interested to see how this movie fits in the pre-existing DC universe than actually seeing the movie lol,0,1 day ago,,
135,"One word. Yes.
I wasn't expecting it to look this good, and the cast is solid.",1,6 days ago,,
136,I have faith that this movie is going to be very good but I wanted the battle against shazam he's crazy it must be that when that moment comes it will be epic,1,6 days ago,,
137,"The cartoon episode with Superman, Captain Marvel (Shazam) and Black Adam was my favorite & hopefully they will do something similar for the second movie and I wish they cast a hawk girl with Jessica Alba wink wink",0,1 day ago,,
138,This is the first DC movie I am truly excited to watch,2,4 days ago,,
139,"“Your magic is weak.” That line gave me such chills, this movie is going to be insane!!
I can’t wait to see hawkman and Black Adam go one on one!",349,9 days ago (edited),,
140,Super hyped for this,2,6 days ago,,
141,Man u can say whatever u want butDC does superhero suit on anotherLevel.,5,3 days ago,,
142,"Billion dollars plus movie easily! If Aquaman can get it, this is by far greater cinematic masterpiece! DC is bringing back the old avengers kind of vibe which I am all for it.",0,6 days ago,,
143,Yes  I can’t wait to see this film,0,6 days ago,,
144,Never have a casting felt so perfect this can be a catapult for DC as a whole they can jump for that universe build up thye have been waiting .,0,5 days ago,,
145,"This looks quite fantastic, the scale the emotional stakes the world d building.",689,9 days ago,,
146,The rocks gonna help save DCEU I’m stokeddd for this,0,7 days ago,,
147,"Don't allow an island boy to play the BLACK ADAM character.  LOL..Go, Rock, you da man! Can't wait to see it!",4,5 days ago (edited),,
148,"1: I really hope that Black Adam's fighting style is a straightforward and direct as it appears in this trailer.2: The retractable helmet for Black Hawkman is extremely stupid, as is the mechanical workings of his mace. It reminds me of MCU Hogun's mace in how needless and wants to change the physical appearance of it",1,6 days ago (edited),,
149,This looks freaking amazing def gonna watch it on imax first day,1,7 days ago,,
150,HAVE NO DOUBT THAT THIS WILL BE ONE OF THE GREATEST MOVIES EVER,0,1 day ago,,
151,"It's actually nice to see The Rock in a much more serious role, and with a pretty beloved character at that. Don't get me wrong, I mostly do enjoy it when The Rock plays a comedic role, like in Moana or the recent Jumanji movies, but he has been needing a break from the laughs. Also, speaking personally here, I really like Black Adam as a character, especially in Injustice. So I'm pretty excited to see this.
Also, I agree with everyone else, Dr Fate looks FANTASTIC!!!",487,9 days ago (edited),,
152,I can't wait,2,5 days ago,,
153,"It feels like Thor, The Eternals, Avengers and X-Men, but instead of the Infinity Stones, we get The Rock and I'm pretty excited about it.",0,7 days ago,,
154,"""Your magic is weak"".
I'd love to see Adam say that against Fate :)",1,6 days ago,,
155,"The movie is loaded with actions, and it also shows the potential of all the members of justice society.'A new Era of the justice society has begun'",245,8 days ago (edited),,
156,INCRÍVEL!!!,0,7 days ago,,
157,"Can't wait, and I hope is as good as the trailer",0,6 days ago,,
158,"Actually looks good, can’t wait.",1,7 days ago,,
159,Love this trailer and I'm excited to see Black Adam and the JSA!! I'm all in!!,5,6 days ago,,
160,This trailer definitely has me way more interested and invested in the movie now. It looks like it'll be good and worth it.,314,9 days ago,,
161,Love how they are gonna pretty much fight the devil,0,7 days ago,,https://www.youtube.com/channel/UCCkIXxsHkrptxqc3M1xfagw
162,Oh snap 🫰 I can’t wait. He is like the first atom when electrons trapped in orbits around nuclei forming the first atoms.,0,2 days ago,,
163,Lovin the look. I really hope they can pull this one off well.,0,7 days ago,,
164,"This trailer makes me want to watch the film.That said, how do they explain at the very least Superman not taking a look at these events..",0,5 days ago,,
165,"This looks good. The effects, the possible plot, the actors, everything!!",375,9 days ago,,
166,This trailer is everythingWTF?! Black Adam,0,7 days ago,,
167,This looks cool and awesome!!! Will wait for this in the cinemas,0,7 days ago,,
168,When I got to knew the Rock's gonna  play black adam i thought nah this movie will be okay but i after this trailer the looks man the looks badass this is even better than the comics,0,1 day ago,,
169,Wow DC came hard on this one I always knew my DC comics gonna come through some day lit brov,1,1 day ago,,
170,I just want Henry Cavill to play SuperMan,2,19 hours ago,,
171,Looks so refreshing. Can't wait to experience it in the theaters. Hope we get to see Henry Cavill as Superman in the end-credits.,268,9 days ago (edited),,
172,Too good ... Awesome spectacular.. can't wait to see the biggest blockbuster movie ️,1,6 days ago,,
173,Had a huge crush on Shaw during the POI days! great to see her back!,1,6 days ago,,
174,"O CGI está insano. Espero que o filme seja tudo isso mesmo, e que o Superman apareça",0,4 days ago,,
175,I just want to see dc do these characters right,2,6 days ago,,
176,This movie looks so sick. can't wait for it.,0,16 hours ago,,
177,This trailer definitely feels more like a villain movie! DC may actually end up having a good track record with comic book villain movies if this turns out good and it sure looks it.,455,9 days ago,,
178,"1:37 - Superhero landing.
As for Black Adam, it's revealed to one with a similar power set that magic is needed to counter magic, so Dr Fate is at a more level playing field.",0,6 days ago,,
179,so excited for this!!! :0,1,6 days ago,,
180,It’s just that the rock has been in too many movies where he acts the same and it’s basically the same thing here all serious and stuff except with a lighting bolt in spandex,4,5 days ago,,
181,This movie looks sick. The action sequences are gonna be amazing but it’s DC so the plot will probably be all over the place but it’s okay because the visuals will be epic for a super hero fan,0,5 days ago,,
182,Kudos to the VFX department...the visuals are even more stupendous than trailer 1. I am very excited for the movie.,652,9 days ago,,
183,I have watched this trailer for the 15th time so far.,1,7 days ago,,
184,"Honestly I just wanna see the rock fly and smash things , let’s go",0,3 days ago,,
185,I have not watched a single show of MCU after taming of hulk and death of Iron man. I genuinely want DC to take over !!!,2,6 days ago,,
186,"Everyone still be rooting for THE ROCK. Although, I really hope Johnson takes a dark outlook on this character, so much so that people end up hating him",0,22 hours ago (edited),,
187,Well he’s obviously gonna turn good at the end…,0,2 days ago,,
188,"I've seen Dwayne Johnson portray as the hero lots of times, but having him as an anti-hero is so rare. The Rock totally nails it as Black Adam!",220,9 days ago (edited),,
189,DC's future has been looking bright since the last couple of years ngl,1,6 days ago,,
190,The trailer looks sick I'm definitely watching this movie,0,7 days ago,,
191,This movie looks really really cool I'm excited,0,2 days ago,,
192,I hope this will be the start of great DC Universe films...,1,6 days ago,,
193,"This looks AMAZING! All of the marvel installments this year weren’t that good. But this, this is something else. I really think we are going to have to give this round to DC this y",0,1 day ago,,
194,"Its absolutely insane that back in 2020 I totally imagined that Dwayne Johnson could be the best actor to be Black Adam in a future movie, and I predicted this so accurately lm",0,2 days ago,,
195,This movie looks absolutely amazing I absolutely can not wait to see this in theatres,0,2 days ago,,
196,"This trailer is a major upgrade and pure awesome. Pierce looks amazing as Fate, and I love how Black Adam catches the bullet and beats up the soldiers so effortlessly. Definitely seeing it on release night!",4,8 days ago,,
197,"Love how Dr. Fate's design looks and how cool his scenes look with his powers, Pierce Brosnan as Dr. Fate is literally perfect casting. Hope he gets a solo movie in the near future.",593,8 days ago,,
198,"After a long time, I got goosebumps watching a movie trailer. Good job WB.",0,6 days ago,,
199,"Love how Dr. Fate's design looks and how cool his scenes look with his powers, Pierce Brosnan as Dr. Fate is literally perfect casting. Hope he gets a solo movie in the near future.",0,6 days ago,,
200,I love the DCEU,2,6 days ago,,
201,"I’m officially enamored by the ability of DC of making their feels taken straight out of a comic book, can’t wait!",853,9 days ago,,
202,So hyped for this movie than I have ever been for any movie ever.,0,3 days ago,,
203,"Gawd these clips look great, and this could be a amazing movie!!",1,8 days ago,,
204,Finally looks like a Good DC movie,0,6 days ago,,
205,Can't wait to see this!,0,6 days ago,,
206,for me this will be the best after justice league,1,2 days ago,,
207,"This trailer looks absolutely EPIC!!!!The action, the characters introduced, the backstory that is yet to be explored in the movie when it does finally come out and the man himself who we would like to see in how he operates and why he does what he does after he awakens from slumber into the modern world!",298,8 days ago,,
208,This video game looks pretty good. I like a well flushed-out storyline.,0,5 days ago,,
209,Fuuuuuuuudge I can’t wait for this… this how I pictured Shazam to be when they first announced it.,0,7 days ago,,
210,Black Adam looks Awesome!,2,5 days ago,,
211,I’d like to see how this interacts with Shazam in the end,0,3 days ago,,
212,"Looks good. I'm way more interested (and excited) to see this, now. The Special FX look INSANE. Clean and crisp.",0,4 days ago,,
213,"Really nice to see DC sticking with serious tone in some of its movies. I hope they don't go the marvel route and shove comedy in whenever they can. On a side note, Dwayne is looking pretty solid playing a serious character and not just the usual himself",152,9 days ago,,
214,Can you imagine Pierce Brosnan as Dr. Strange? I sure can.  DC got the dream casting.,0,6 days ago,,
215,"looks like gonna be awesome, the effect, cgi look real, more than other heroes from M, go for it DC",0,4 days ago,,
216,"I wish Dwayne Johnson still had hair, Hes the perfect cast for Black Adam looks wise but the lack of hair is a shame.",0,1 day ago,,
217,Dope trailer. Can't wait for the movie. Especially cause the rock plays Black Adam.,1,7 days ago,,
218,"This trailer is a major upgrade and pure awesome. Pierce looks amazing as Fate, and I love how Black Adam catches the bullet and beats up the soldiers so effortlessly. Definitely seeing it on release night!",0,7 days ago,,
219,Dc coming with full force,1,6 days ago,,
220,Pierce Brosnan is a great actor since my childhood.. he is my 1st James Bond..,0,1 minute ago,,
221,This looks absolutely amazing and I'm happy they kept the serious tone. Not everything needs to be a joke like Thor Love and Thunder.,124,9 days ago,,
222,"Cinematography, cgi, lighting effects,bgm costumes...All are very cool, with a fresh touch, and looking amazing.",0,2 days ago,,
223,"I'm still trying to wrap my head around a fight between Zachary Levi and Dwayne Johnsons Shazam vs Black Adam.
Can any of you?",0,5 days ago (edited),,
224,"While still skeptical, I must say this trailer gives me MUCH more confidence this will be a decent movie",0,7 days ago,,
225,When u see the rock often yeah you see him as the rock. Look at the character as black Adam,1,6 days ago,,
226,"I truly believe ""Man of Steel"" set the tone for this film. It's like kind of ""dark"" and ""moody"" but ""comic book-ish"" at the same time. The DCEU really have a cinematic language that's different from the MCU if they stick with it. Can't wait to see the film.",465,9 days ago,,
227,"Can't wait to see this. Way back in early 2000s when DC did the 52 series. I mostly read what happened to Black Adam during 52 and I remember saying to myself, The Rock could play Black Adam in a movie. And now here we are it happened. Can't wait to see this!!",0,6 days ago,,
228,Excellent! Must watch!  watched the trailer a few dozen times already.,2,4 days ago (edited),,
229,Movie looks so badass,2,6 days ago,,
230,This gonna be one of the best dc movies,0,6 days ago,,
231,As a marvel fan I can say that will be a banger,1,6 days ago,,
232,"The two things I'm really expecting from this film are Doctor Fate and a connection to Shazam! People keep asking for a confrontation with Superman, but Black Adam is Captain Marvel's nemesis.",716,8 days ago,,
233,This might be the detonator for DC's rise again!,1,23 hours ago,,
234,It's abt time DC to back on Top,1,6 days ago,,
235,"""This power is not a gift..but a curse""Shazam:i can lift your curseBA:noShazam:but u said..Ba:its no matter ehat i said",1,5 days ago,,
236,"Way better than the first trailer, I'm mildly interested now.",1,5 days ago,,
237,It's powerful and perfect,2,5 days ago,,
238,"This trailer actually made me excited for this movie, I was a bit hesitant but this actually looks pretty good",262,9 days ago,,
239,i can cross my fingers for The Rock's new venture.....,1,8 days ago,,
240,"I think this is gonna be epic, and If Henry Cavill’s Superman make a Cameo on this movie, it will be more more more epic!",0,7 days ago,,
241,Je pense qu'il va être incroyable ce film black Adam avec dwayne,0,5 days ago,,
242,HAWKMAN is going to be most badass member of JUSTICE SOCIETY,0,7 days ago,,
243,"Looks great and REALLY looking forward to seeing it in the theater! The issue I have is WTH does Amanda Waller have to do with Earth  2 heros like the JSA???
WHY IS SHE EVEN ASSOCIATED WITH THEM???!!!",2,4 days ago,,
244,"I'm not huge into superhero movies anymore, and I don't have enormous hopes for the story itself in this one, but the effects seem cool and I hope this movie succeeds. From what I understand, Dwayne Johnson has championed this project behind the scenes for years like Ryan Reynolds championed Deadpool. I hope it doesn't fail and the efforts of all involved are rewarded. Side note: FINALLY a DC film with some color in it!",154,9 days ago,,
245,i just love every single bit of this amazing movie. I am waiting for it ......,0,7 days ago,,
246,Wow I can't wait,0,6 days ago,,
247,Certainly looks like it’ll be DC’s best work so far. We shall seeee,0,6 days ago,,
248,This gonna change the perception of audience about DC .....Looks amazing,0,7 days ago (edited),,
249,This is epic!!,1,6 days ago,,
250,"I hope this movie takes itself as serious as it is showing itself to be in this trailer bc I could use some serious super hero content rn, Marvel is definitely failing me in that department rn bc they keep trying to force comedy into every single scene they can for some reason and it never lands.",388,9 days ago,,
251,Love how similar that looks to a certain other buildings flight design,0,7 days ago,,
252,"I like the part where he said ""It's Shazaming time"".",0,7 days ago,,
253,cant wait for this,0,2 days ago,,
254,"Marvel here’s a little sign to start taking some actual time on your projects like you used to and step it up, cause damn this looks absolutely beautiful",0,7 days ago,,
255,I think I’m starting to become a dc fan,2,3 days ago,,
256,"I really hope there's going to be a JSA movie, I would love to see more of them in live action DC movies and with other members like Hourman, Jay Garrick's Flash, Alan Scott's Green Lantern, etc.",142,9 days ago,,
257,"Man if this is the future of DC, the MCU is gunna have some serious competition",0,7 days ago,,
258,"I cant get over how good everything looks. Dr. Fates magic, Cyclones wind powers, Hawkmans armor, and of course, Black Adams everything. Probably the most excited Ive been for a DCEU movie in a long while.",0,7 days ago,,
